company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2012,1,-1,-1,Reinvestor
ABB,2014,1,-1,-1,Reinvestor
ABB,2015,1,-1,-1,Reinvestor
ABB,2016,1,-1,-1,Reinvestor
ABB,2017,1,-1,-1,Reinvestor
ABB,2018,1,-1,-1,Reinvestor
ABB,2019,1,-1,-1,Reinvestor
ABB,2020,1,-1,-1,Reinvestor
ABB,2021,1,-1,-1,Reinvestor
ABB,2022,1,-1,-1,Reinvestor
ABB,2023,1,-1,-1,Reinvestor
ABB,2024,1,-1,-1,Reinvestor
ADANIENSOL,2014,-1,-1,-1,Mixed
ADANIENSOL,2015,-1,-1,1,Pre-Revenue
ADANIENSOL,2016,1,-1,-1,Reinvestor
ADANIENSOL,2017,1,-1,-1,Reinvestor
ADANIENSOL,2018,1,-1,1,Growth Funded by Debt
ADANIENSOL,2019,1,-1,1,Growth Funded by Debt
ADANIENSOL,2020,1,-1,1,Growth Funded by Debt
ADANIENSOL,2021,1,-1,-1,Reinvestor
ADANIENSOL,2022,1,-1,-1,Reinvestor
ADANIENSOL,2023,1,-1,1,Growth Funded by Debt
ADANIENSOL,2024,1,-1,-1,Reinvestor
ADANIENT,2013,1,-1,1,Growth Funded by Debt
ADANIENT,2014,1,-1,-1,Reinvestor
ADANIENT,2015,1,-1,1,Growth Funded by Debt
ADANIENT,2016,1,-1,-1,Reinvestor
ADANIENT,2017,1,-1,1,Growth Funded by Debt
ADANIENT,2018,1,-1,1,Growth Funded by Debt
ADANIENT,2019,1,1,-1,Shareholder Returns
ADANIENT,2020,1,-1,-1,Reinvestor
ADANIENT,2021,1,-1,1,Growth Funded by Debt
ADANIENT,2022,1,-1,1,Growth Funded by Debt
ADANIENT,2023,1,-1,-1,Reinvestor
ADANIENT,2024,1,-1,1,Growth Funded by Debt
ADANIGREEN,2017,1,-1,1,Growth Funded by Debt
ADANIGREEN,2018,1,-1,1,Growth Funded by Debt
ADANIGREEN,2019,1,-1,1,Growth Funded by Debt
ADANIGREEN,2020,1,-1,1,Growth Funded by Debt
ADANIGREEN,2021,1,-1,1,Growth Funded by Debt
ADANIGREEN,2022,1,-1,1,Growth Funded by Debt
ADANIGREEN,2023,1,-1,-1,Reinvestor
ADANIGREEN,2024,1,-1,1,Growth Funded by Debt
ADANIPORTS,2013,1,-1,1,Growth Funded by Debt
ADANIPORTS,2014,1,-1,1,Growth Funded by Debt
ADANIPORTS,2015,1,-1,-1,Reinvestor
ADANIPORTS,2016,1,-1,1,Growth Funded by Debt
ADANIPORTS,2017,1,-1,-1,Reinvestor
ADANIPORTS,2018,1,-1,-1,Reinvestor
ADANIPORTS,2019,1,-1,1,Growth Funded by Debt
ADANIPORTS,2020,1,-1,-1,Reinvestor
ADANIPORTS,2021,1,-1,1,Growth Funded by Debt
ADANIPORTS,2022,1,-1,-1,Reinvestor
ADANIPORTS,2023,1,-1,-1,Reinvestor
ADANIPORTS,2024,1,-1,-1,Reinvestor
ADANIPOWER,2013,1,-1,1,Growth Funded by Debt
ADANIPOWER,2014,1,-1,1,Growth Funded by Debt
ADANIPOWER,2015,1,-1,-1,Reinvestor
ADANIPOWER,2016,1,-1,-1,Reinvestor
ADANIPOWER,2017,1,-1,-1,Reinvestor
ADANIPOWER,2018,1,-1,-1,Reinvestor
ADANIPOWER,2019,1,-1,-1,Reinvestor
ADANIPOWER,2020,1,-1,-1,Reinvestor
