company_id,company_name,broad_sector,cluster_id,cluster_name,distance_from_centroid
ABB,Abbott India Ltd,Industrials,1,Defensive Dividend Payers,0.4734
ADANIENSOL,Adani Energy Solutions Ltd,Energy,1,Defensive Dividend Payers,1.365
ADANIENT,Adani Enterprises Ltd,Industrials,1,Defensive Dividend Payers,1.955
ADANIGREEN,Adani Green Energy Ltd,Energy,0,Value Cyclicals,2.6248
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,3,Distressed or Turnaround,1.1758
ADANIPOWER,Adani Power Ltd,Energy,1,Defensive Dividend Payers,0.9183
ATGL,Adani Total Gas Ltd,Energy,1,Defensive Dividend Payers,1.4707
AMBUJACEM,Ambuja Cements Ltd,Materials,1,Defensive Dividend Payers,0.9673
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,1,Defensive Dividend Payers,1.2153
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,1,Defensive Dividend Payers,0.4367
DMART,Avenue Supermarts Ltd,Consumer Discretionary,1,Defensive Dividend Payers,1.4534
AXISBANK,Axis Bank Ltd,Financials,0,Value Cyclicals,0.9557
BAJAJ_AUTO,Bajaj Auto Ltd,Consumer Discretionary,1,Defensive Dividend Payers,0.4875
BAJFINANCE,Bajaj Finance Ltd,Financials,0,Value Cyclicals,1.6142
BAJAJFINSV,Bajaj Finserv Ltd,Financials,0,Value Cyclicals,1.1181
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,3,Distressed or Turnaround,2.5108
BANKBARODA,Bank of Baroda,Financials,0,Value Cyclicals,2.7145
BEL,Bharat Electronics Ltd,Industrials,2,High-Quality Compounders,0.8012
BHEL,"Bharat Heavy Electricals Limited
",Industrials,1,Defensive Dividend Payers,2.8611
BPCL,Bharat Petroleum Corporation Ltd,Energy,1,Defensive Dividend Payers,0.7641
BHARTIARTL,Bharti Airtel Ltd,Communication Services,3,Distressed or Turnaround,1.7201
BOSCHLTD,Bosch Ltd,Consumer Discretionary,1,Defensive Dividend Payers,0.7185
BRITANNIA,Britannia Industries Ltd,Consumer Staples,1,Defensive Dividend Payers,0.3248
CANBK,Canara Bank,Financials,0,Value Cyclicals,3.7388
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,0,Value Cyclicals,1.0302
CIPLA,"Cipla Ltd
",Healthcare,3,Distressed or Turnaround,0.7635
COALINDIA,Coal India Ltd,Materials,3,Distressed or Turnaround,1.0449
DLF,DLF Ltd,Real Estate,1,Defensive Dividend Payers,2.2559
DABUR,Dabur India Ltd,Consumer Staples,1,Defensive Dividend Payers,0.6541
