company_id,year,previous_pattern,new_pattern
ADANIENSOL,2015,Mixed,Pre-Revenue
ADANIENSOL,2016,Pre-Revenue,Reinvestor
ADANIENSOL,2018,Reinvestor,Growth Funded by Debt
ADANIENSOL,2021,Growth Funded by Debt,Reinvestor
ADANIENSOL,2023,Reinvestor,Growth Funded by Debt
ADANIENSOL,2024,Growth Funded by Debt,Reinvestor
ADANIENT,2014,Growth Funded by Debt,Reinvestor
ADANIENT,2015,Reinvestor,Growth Funded by Debt
ADANIENT,2016,Growth Funded by Debt,Reinvestor
ADANIENT,2017,Reinvestor,Growth Funded by Debt
ADANIENT,2019,Growth Funded by Debt,Shareholder Returns
ADANIENT,2020,Shareholder Returns,Reinvestor
ADANIENT,2021,Reinvestor,Growth Funded by Debt
ADANIENT,2023,Growth Funded by Debt,Reinvestor
ADANIENT,2024,Reinvestor,Growth Funded by Debt
ADANIGREEN,2023,Growth Funded by Debt,Reinvestor
ADANIGREEN,2024,Reinvestor,Growth Funded by Debt
ADANIPORTS,2015,Growth Funded by Debt,Reinvestor
ADANIPORTS,2016,Reinvestor,Growth Funded by Debt
ADANIPORTS,2017,Growth Funded by Debt,Reinvestor
ADANIPORTS,2019,Reinvestor,Growth Funded by Debt
ADANIPORTS,2020,Growth Funded by Debt,Reinvestor
ADANIPORTS,2021,Reinvestor,Growth Funded by Debt
ADANIPORTS,2022,Growth Funded by Debt,Reinvestor
ADANIPOWER,2015,Growth Funded by Debt,Reinvestor
ADANIPOWER,2022,Reinvestor,Shareholder Returns
AGTL,2019,Growth Funded by Debt,Shareholder Returns
AGTL,2020,Shareholder Returns,Reinvestor
AGTL,2021,Reinvestor,Growth Funded by Debt
AGTL,2024,Growth Funded by Debt,Reinvestor
AMBUJACEM,2023,Reinvestor,Growth Funded by Debt
APOLLOHOSP,2014,Growth Funded by Debt,Reinvestor
APOLLOHOSP,2015,Reinvestor,Growth Funded by Debt
APOLLOHOSP,2018,Growth Funded by Debt,Reinvestor
AXISBANK,2015,Growth Funded by Debt,Pre-Revenue
AXISBANK,2016,Pre-Revenue,Liquidating Assets
AXISBANK,2017,Liquidating Assets,Reinvestor
AXISBANK,2018,Reinvestor,Pre-Revenue
AXISBANK,2019,Pre-Revenue,Growth Funded by Debt
AXISBANK,2024,Growth Funded by Debt,Pre-Revenue
BAJAJFINSV,2016,Liquidating Assets,Pre-Revenue
BAJAJFINSV,2017,Pre-Revenue,Liquidating Assets
BAJAJFINSV,2018,Liquidating Assets,Pre-Revenue
BAJAJFINSV,2021,Pre-Revenue,Growth Funded by Debt
BAJAJFINSV,2022,Growth Funded by Debt,Liquidating Assets
BAJAJFINSV,2023,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,2016,Reinvestor,Shareholder Returns
BAJAJHLDNG,2017,Shareholder Returns,Mixed
BAJAJHLDNG,2018,Mixed,Reinvestor
BAJAJ_AUTO,2020,Reinvestor,Shareholder Returns
BAJAJ_AUTO,2021,Shareholder Returns,Reinvestor
BAJAJ_AUTO,2022,Reinvestor,Shareholder Returns
BAJAJ_AUTO,2024,Shareholder Returns,Reinvestor
BAJFINANCE,2018,Pre-Revenue,Liquidating Assets
BAJFINANCE,2019,Liquidating Assets,Pre-Revenue
BAJFINANCE,2022,Pre-Revenue,Liquidating Assets
BAJFINANCE,2023,Liquidating Assets,Pre-Revenue
BANKBARODA,2014,Reinvestor,Growth Funded by Debt
BANKBARODA,2015,Growth Funded by Debt,Reinvestor
BANKBARODA,2016,Reinvestor,Mixed
BANKBARODA,2017,Mixed,Reinvestor
BANKBARODA,2018,Reinvestor,Pre-Revenue
BANKBARODA,2020,Pre-Revenue,Growth Funded by Debt
BANKBARODA,2021,Growth Funded by Debt,Mixed
BANKBARODA,2022,Mixed,Reinvestor
BANKBARODA,2023,Reinvestor,Mixed
BANKBARODA,2024,Mixed,Pre-Revenue
BEL,2015,Distress Signal,Reinvestor
BEL,2017,Reinvestor,Distress Signal
BEL,2018,Distress Signal,Mixed
BEL,2019,Mixed,Reinvestor
BEL,2023,Reinvestor,Shareholder Returns
BEL,2024,Shareholder Returns,Reinvestor
BHARTIARTL,2014,Reinvestor,Growth Funded by Debt
BHARTIARTL,2015,Growth Funded by Debt,Reinvestor
BHARTIARTL,2018,Reinvestor,Growth Funded by Debt
BHARTIARTL,2021,Growth Funded by Debt,Reinvestor
BHEL,2015,Growth Funded by Debt,Shareholder Returns
BHEL,2017,Shareholder Returns,Reinvestor
BHEL,2018,Reinvestor,Shareholder Returns
BHEL,2019,Shareholder Returns,Distress Signal
BHEL,2020,Distress Signal,Liquidating Assets
BHEL,2021,Liquidating Assets,Reinvestor
BHEL,2023,Reinvestor,Liquidating Assets
BOSCHLTD,2017,Reinvestor,Shareholder Returns
BOSCHLTD,2018,Shareholder Returns,Reinvestor
BOSCHLTD,2019,Reinvestor,Shareholder Returns
BOSCHLTD,2020,Shareholder Returns,Reinvestor
BOSCHLTD,2023,Reinvestor,Shareholder Returns
BPCL,2017,Reinvestor,Growth Funded by Debt
BPCL,2018,Growth Funded by Debt,Reinvestor
BPCL,2019,Reinvestor,Growth Funded by Debt
BPCL,2021,Growth Funded by Debt,Reinvestor
BRITANNIA,2014,Shareholder Returns,Reinvestor
BRITANNIA,2020,Reinvestor,Growth Funded by Debt
BRITANNIA,2021,Growth Funded by Debt,Shareholder Returns
BRITANNIA,2023,Shareholder Returns,Reinvestor
BRITANNIA,2024,Reinvestor,Shareholder Returns
CANBK,2017,Reinvestor,Growth Funded by Debt
CANBK,2018,Growth Funded by Debt,Pre-Revenue
CANBK,2019,Pre-Revenue,Reinvestor
CANBK,2020,Reinvestor,Pre-Revenue
CANBK,2021,Pre-Revenue,Growth Funded by Debt
CANBK,2023,Growth Funded by Debt,Pre-Revenue
CANBK,2024,Pre-Revenue,Reinvestor
CHOLAFIN,2014,Liquidating Assets,Pre-Revenue
CHOLAFIN,2022,Pre-Revenue,Liquidating Assets
CHOLAFIN,2023,Liquidating Assets,Pre-Revenue
CIPLA,2014,Growth Funded by Debt,Reinvestor
CIPLA,2015,Reinvestor,Growth Funded by Debt
CIPLA,2017,Growth Funded by Debt,Reinvestor
CIPLA,2020,Reinvestor,Shareholder Returns
CIPLA,2021,Shareholder Returns,Reinvestor
COALINDIA,2014,Reinvestor,Shareholder Returns
COALINDIA,2018,Shareholder Returns,Reinvestor
COALINDIA,2020,Reinvestor,Shareholder Returns
COALINDIA,2022,Shareholder Returns,Reinvestor
DABUR,2019,Reinvestor,Shareholder Returns
DABUR,2020,Shareholder Returns,Reinvestor
DIVISLAB,2017,Reinvestor,Growth Funded by Debt
DIVISLAB,2018,Growth Funded by Debt,Reinvestor
DIVISLAB,2021,Reinvestor,Shareholder Returns
DIVISLAB,2022,Shareholder Returns,Reinvestor
DLF,2016,Shareholder Returns,Reinvestor
DLF,2017,Reinvestor,Liquidating Assets
DLF,2018,Liquidating Assets,Reinvestor
DLF,2019,Reinvestor,Cash Accumulator
DLF,2020,Cash Accumulator,Shareholder Returns
DLF,2023,Shareholder Returns,Reinvestor
DLF,2024,Reinvestor,Growth Funded by Debt
DMART,2018,Growth Funded by Debt,Shareholder Returns
DMART,2019,Shareholder Returns,Growth Funded by Debt
DMART,2021,Growth Funded by Debt,Reinvestor
EICHERMOT,2017,Reinvestor,Growth Funded by Debt
EICHERMOT,2018,Growth Funded by Debt,Reinvestor
GAIL,2014,Growth Funded by Debt,Reinvestor
GAIL,2020,Reinvestor,Growth Funded by Debt
GAIL,2021,Growth Funded by Debt,Reinvestor
GAIL,2023,Reinvestor,Growth Funded by Debt
GAIL,2024,Growth Funded by Debt,Reinvestor
GODREJCP,2014,Growth Funded by Debt,Reinvestor
GODREJCP,2017,Reinvestor,Growth Funded by Debt
GODREJCP,2018,Growth Funded by Debt,Reinvestor
GODREJCP,2019,Reinvestor,Shareholder Returns
GODREJCP,2020,Shareholder Returns,Reinvestor
GODREJCP,2024,Reinvestor,Growth Funded by Debt
GRASIM,2014,Growth Funded by Debt,Reinvestor
GRASIM,2018,Reinvestor,Liquidating Assets
GRASIM,2019,Liquidating Assets,Pre-Revenue
GRASIM,2020,Pre-Revenue,Reinvestor
GRASIM,2023,Reinvestor,Pre-Revenue
HAL,2019,Distress Signal,Liquidating Assets
HAL,2020,Liquidating Assets,Growth Funded by Debt
HAL,2021,Growth Funded by Debt,Reinvestor
HAVELLS,2019,Reinvestor,Shareholder Returns
HAVELLS,2020,Shareholder Returns,Reinvestor
HAVELLS,2021,Reinvestor,Growth Funded by Debt
HAVELLS,2022,Growth Funded by Debt,Reinvestor
HAVELLS,2023,Reinvestor,Shareholder Returns
HAVELLS,2024,Shareholder Returns,Reinvestor
HCLTECH,2022,Reinvestor,Shareholder Returns
HCLTECH,2023,Shareholder Returns,Reinvestor
HDFCBANK,2014,Pre-Revenue,Growth Funded by Debt
HDFCBANK,2015,Growth Funded by Debt,Pre-Revenue
HDFCBANK,2017,Pre-Revenue,Reinvestor
HDFCBANK,2018,Reinvestor,Growth Funded by Debt
HDFCBANK,2019,Growth Funded by Debt,Pre-Revenue
HDFCBANK,2021,Pre-Revenue,Reinvestor
HDFCBANK,2022,Reinvestor,Pre-Revenue
HDFCBANK,2023,Pre-Revenue,Growth Funded by Debt
HDFCBANK,2024,Growth Funded by Debt,Shareholder Returns
HDFCLIFE,2015,Mixed,Reinvestor
